"Country", "DEATHS/1M", "TOP_DEATH", "TESTS/1M", "TOP_TEST" 
"Switzerland","231","27","105,073.00","50"
"Estonia","47","82","104,146.00","51"
"Hong Kong","10","133","103,981.00","52"
"Sweden","574","8","101,900.00","53"
"Serbia","79","59","96,474.00","54"
"Finland","60","71","93,458.00","55"
"France","467","12","91,892.00","56"
"Bhutan","0","190","86,488.00","57"
"Peru","818","3","86,336.00","58"
"Azerbaijan","50","79","84,301.00","59"
"Falkland Islands","0","190","645,863.00","6"
"Romania","164","35","82,783.00","60"
"Georgia","4","161","79,021.00","61"
"Greece","23","106","78,386.00","62"
"Netherlands","361","17","76,591.00","63"
"Czechia","38","87","76,565.00","64"
"Turkey","72","62","71,770.00","65"
"Slovenia","62","70","70,752.00","66"
"Jordan","1","176","70,566.00","67"
"Montenegro","129","44","70,404.00","68"
"Panama","426","14","66,445.00","69"
"UAE","37","88","632,496.00","7"
"Lebanon","17","117","65,050.00","70"
"Brazil","528","11","64,616.00","71"
"Armenia","282","21","64,291.00","72"
"Djibouti","60","71","64,116.00","73"
"Poland","51","77","63,672.00","74"
"North Macedonia","266","24","63,596.00","75"
"Saint Martin","129","44","63,193.00","76"
"China","3","168","62,814.00","77"
"British Virgin Islands","33","93","62,461.00","78"
"Oman","119","46","60,353.00","79"
"Bahrain","105","51","592,064.00","8"
"Venezuela","11","132","59,056.00","80"
"Guadeloupe","37","88","58,943.00","81"
"South Africa","212","30","58,581.00","82"
"Slovakia","6","147","55,681.00","83"
"Grenada","0","190","55,526.00","84"
"Barbados","24","103","52,285.00","85"
"Bulgaria","77","60","51,683.00","86"
"Bosnia and Herzegovina","157","37","51,515.00","87"
"Turks and Caicos","52","76","50,015.00","88"
"Mayotte","143","41","47,502.00","89"
"Bermuda","145","39","581,621.00","9"
"Gabon","24","103","46,771.00","90"
"Colombia","318","20","46,606.00","91"
"Sint Maarten","396","15","46,179.00","92"
"Moldova","228","29","45,609.00","93"
"Morocco","21","110","45,187.00","94"
"Uruguay","12","131","44,435.00","95"
"El Salvador","99","54","44,418.00","96"
"Anguilla","0","190","44,072.00","97"
"Palestine","23","106","41,991.00","98"
"New Caledonia","0","190","41,410.00","99"
